title,x,y,cluster
The Shawshank Redemption,0.08963845641992739,-0.014924272482205715,3
The Godfather,-0.09660721648949004,-0.020542108428113756,0
The Godfather Part II,-0.05083796846232096,-0.0920140322113156,0
Schindler's List,-0.037761556183882314,0.02410304357771032,0
12 Angry Men,0.030847417291179447,0.16398639149087096,0
Spirited Away,0.006236814465837234,0.023649114427930502,2
The Dark Knight,0.12790663168356145,-0.018873474339344082,0
Dilwale Dulhania Le Jayenge,-0.014955891766361338,0.027059804604897313,2
The Green Mile,-0.0651407301799713,-0.05178107007518843,0
Parasite,-0.0993257769966928,-0.06673444159556519,1
The Lord of the Rings: The Return of the King,0.009788607844995847,-0.014950295622884163,0
Pulp Fiction,0.0032383032384498793,-0.019398968655304504,1
Your Name.,-0.0420824107719108,-0.06780158871422218,1
Forrest Gump,-0.010622053503583053,-0.004651639608832244,3
"The Good, the Bad and the Ugly",0.0104977129321302,0.05957702096370994,0
Interstellar,0.013777907029882366,0.06330674891919041,0
Seven Samurai,-0.02562008554516201,0.0609257158749248,0
GoodFellas,0.1627060301084117,-0.038101093318057604,0
Grave of the Fireflies,-0.02215496917213069,-0.06952228714632053,1
Life Is Beautiful,0.0589757462096247,0.03321320923749433,3
Fight Club,-0.003764320746568857,0.06969957463949444,1
Cinema Paradiso,0.0758317981704398,0.03424800845394277,3
Impossible Things,0.08863619989298889,-0.03653084550677295,2
Harakiri,-0.02445547694680755,-0.03090512355015984,0
City of God,-0.014778790555231642,0.003405622970917164,0
A Dog's Will,-0.0534768741128005,-0.011019766281652691,1
KPop Demon Hunters,0.00595596531285182,0.09067050201851952,1
The Lord of the Rings: The Fellowship of the Ring,-0.1218011309850377,-0.13876174768845534,0
Psycho,-0.057943643797058825,-0.06542542148291547,3
One Flew Over the Cuckoo's Nest,0.020407876575451487,0.06365187469327022,3
Gabriel's Inferno,-0.002653509030210808,-0.017069089025617414,3
Once Upon a Time in America,-0.025547145396987946,0.06788465310709128,3
